iter	Passed	Remaining
1615	66676	552225
1616	66716	552175
1617	66755	552117
1618	66796	552071
1619	66835	552013
1620	66875	551958
1621	66915	551906
1622	66956	551862
1623	66995	551804
1624	67044	551828
1625	67084	551772
1626	67135	551816
1627	67175	551764
1628	67215	551712
1629	67254	551652
1630	67292	551586
1631	67330	551520
1632	67373	551490
1633	67428	551556
1634	67466	551493
1635	67505	551430
1636	67553	551443
1637	67590	551372
1638	67630	551314
1639	67671	551274
1640	67709	551209
1641	67749	551155
1642	67788	551097
1643	67829	551052
1644	67869	550998
1645	67911	550966
1646	67951	550912
1647	67989	550845
1648	68027	550783
1649	68058	550655
1650	68096	550585
1651	68137	550540
1652	68176	550486
1653	68222	550485
1654	68261	550422
1655	68302	550377
1656	68339	550300
1657	68395	550383
1658	68434	550325
1659	68476	550290
